1,Suzanne Collins,'Information About Suzanne Collins'
2,J.K. Rowling,'Information About J.K. Rowling'
3,Harper Lee,'Information About Harper Lee'
4,Jane Austen,'Information About Jane Austen'
5,Stephenie Meyer,'Information About Stephenie Meyer'
6,Markus Zusak,'Information About Markus Zusak'
7,C.S. Lewis,'Information About C.S. Lewis'
8,George Orwell,'Information About George Orwell'
9,Margaret Mitchell,'Information About Margaret Mitchell'
10,J.R.R. Tolkien,'Information About J.R.R. Tolkien'
11,John Green,'Information About John Green'
12,Douglas Adams,'Information About Douglas Adams'
13,Shel Silverstein,'Information About Shel Silverstein'
14,Emily Brontë,'Information About Emily Brontë'
15,Dan Brown,'Information About Dan Brown'
16,Arthur Golden,'Information About Arthur Golden'
17,Lewis Carroll,'Information About Lewis Carroll'
18,Oscar Wilde,'Information About Oscar Wilde'
19,Victor Hugo,'Information About Victor Hugo'
20,Veronica Roth,'Information About Veronica Roth'
